test_id,metric,component,before_bytes,after_bytes,delta_bytes,input_bytes,multiplier,unit,notes
E1-11b,task_wait,paperless-webserver,,,0.059202,13354,,seconds,"DOC-08; czas oczekiwania raportowany przez task API v10"
E1-11c,task_duration,paperless-webserver,,,0.606017,24232,,seconds,"DOC-09A; PDF z warstwą tekstową, bez OCR"
E1-11c,task_wait,paperless-webserver,,,0.058267,24232,,seconds,"DOC-09A; czas oczekiwania raportowany przez task API v10"
E1-11c,task_duration,paperless-webserver,,,0.639460,24232,,seconds,"DOC-09B; duplikat binarny, przetworzony jak nowy dokument"
E1-11c,task_wait,paperless-webserver,,,0.059456,24232,,seconds,"DOC-09B; czas oczekiwania raportowany przez task API v10"
E1-10pl,task_duration,paperless-webserver,,,0.538478,23981,,seconds,"DOC-10; PDF z polskimi znakami w nazwie, tytule i treści"
E1-10pl,task_wait,paperless-webserver,,,0.007707,23981,,seconds,"DOC-10; czas oczekiwania raportowany przez task API v10"
E1-11d,task_duration,paperless-webserver,,,0.030266,24232,,seconds,"DOC-09B-REJECT-TRUE; duplikat odrzucony w preflightcie, task failure, żaden rekord nie powstał"
E1-11d,task_wait,paperless-webserver,,,0.005599,24232,,seconds,"DOC-09B-REJECT-TRUE; czas oczekiwania raportowany przez task API v10"
E1-11d,upload_duration,paperless-webserver,,,0.288919,24232,,seconds,"DOC-09B-REJECT-TRUE; czas żądania POST /api/documents/post_document/"
E1-11d,service_recreate,paperless-webserver,,,6.598,,,seconds,"odtworzenie kontenera przez up -d --no-deps --force-recreate webserver"
E1-11d,service_downtime_to_healthy,paperless-webserver,,,36.765,,,seconds,"od rozpoczęcia odtwarzania do stanu healthy przy włączaniu odrzucania duplikatów"
E1-11d,service_downtime_to_http200,paperless-webserver,,,40.119,,,seconds,"od rozpoczęcia odtwarzania do pierwszej odpowiedzi 200 z /api/status/; górne ograniczenie niedostępności"
E1-11d,service_downtime_to_healthy,paperless-webserver,,,36.604,,,seconds,"rollback do konfiguracji domyślnej; ponowne odtworzenie webservera"
E1-11d,document_count,paperless-postgres,9,9,0,24232,0.000000,count,"liczba aktywnych dokumentów przed i po próbie duplikatu przy DELETE_DUPLICATES=true"
E1-13,service_downtime_to_http200,paperless-webserver,,,26,,,seconds,"odtworzenie webservera w trakcie OCR; do pierwszej uwierzytelnionej odpowiedzi 200 z /api/status/"
E1-13,service_downtime_to_healthy,paperless-webserver,,,44,,,seconds,"odtworzenie webservera w trakcie OCR; do stanu healthy"
E1-13,worker_processes,paperless-webserver,6,6,0,,,count,"procesy celery, document_consumer i granian przed i po restarcie"
E1-13,document_count,paperless-postgres,9,9,0,5032237,0.000000,count,"restart w trakcie OCR: dokument nie powstał, zadanie zostało w stanie started"
E1-14,broker_memory_limit,valkey-isolated,,,3145728,,,bytes,"maxmemory ustawiony na izolowanym brokerze; polityka noeviction"
E1-14,writes_before_oom,valkey-isolated,,,24,,,count,"zapisy 64 KiB przyjete przed OOM command not allowed"
E1-14,evicted_keys_noeviction,valkey-isolated,0,0,0,,,count,"brak cichej utraty danych przy noeviction"
E1-14,evicted_keys_allkeys_lru,valkey-isolated,0,51,51,,,count,"kontrast: polityka eksmisji usuwa dane bez bledu"
E1-15a,broker_used_memory,valkey-paperless,,,2463880,,,bytes,"used_memory brokera Paperless w spoczynku"
E1-15a,broker_keys,valkey-paperless,,,12,,,count,"liczba kluczy Paperless w brokerze"
E1-15c,broker_used_memory_idle,valkey-core-split,,,944672,,,bytes,"used_memory pustej drugiej instancji Valkey"
E1-15c,container_rss_idle,valkey-core-split,,,6385664,,,bytes,"RSS kontenera drugiej instancji Valkey w spoczynku (6.09 MiB)"
E1-15c,container_rss_idle,valkey-paperless,,,18130534,,,bytes,"RSS kontenera brokera Paperless (17.29 MiB)"
E1-15c,scenario_duration,bullmq-shared,,,21,,,seconds,"szesc scenariuszy E1-15b na wspolnym brokerze"
E1-15c,scenario_duration,bullmq-split,,,24,,,seconds,"szesc scenariuszy E1-15b na osobnym brokerze"
E3A,export_size,paperless-export,,,6946464,,,bytes,"pelny document_exporter 3.0.4 z --compare-checksums; 27 plikow, 10 dokumentow z koszem"
E3B,freeze_duration,paperless-webserver,,,38,,,seconds,"czas zamrozenia zapisow przy budowie zestawu DR"
E3B,dataset_size,dr-set,,,6946464,,,bytes,"zamrozony zestaw DR: dumpy obu baz, media, assety, konfiguracja, manifest"
E3B,pg_dump_size,paperless-postgres,,,359543,,,bytes,"logiczny dump pg_dump -Fc bazy Paperless"
E3B,pg_dump_size,core-fixture-postgres,,,5687,,,bytes,"logiczny dump pg_dump -Fc bazy core_fixture"
E3-trials,backup_duration,restic,,,0.80,,,seconds,"backup zestawu DR do czystego repozytorium"
E3-trials,backup_duration,borg,,,0.26,,,seconds,"backup zestawu DR do czystego repozytorium"
E3-trials,restore_duration,restic,,,0.74,,,seconds,"pelny restore zestawu DR"
E3-trials,restore_duration,borg,,,0.19,,,seconds,"pelny extract zestawu DR"
E3-trials,repository_size,restic,,,6351335,6946464,0.914326,bytes,"repozytorium po backupie zestawu DR"
E3-trials,repository_size,borg,,,6382907,6946464,0.918871,bytes,"repozytorium po backupie zestawu DR"
E3-trials,manual_steps,restic,,,1,,,count,"restic unlock po przerwanym backupie"
E3-trials,manual_steps,borg,,,3,,,count,"break-lock, compact po prune, zgoda na przeniesienie repozytorium"
